t,x,y,z,dxdt,dydt,dzdt,speed
8,-7.012491594,-4.585886041,28.3854583,24.26605553,7.288909098,-43.53606815,50.37220341
8.001,-6.988310676,-4.578757738,28.34189966,24.09552938,6.968058795,-43.58061751,50.28338296
8.002,-6.96430103,-4.571949197,28.29829822,23.92351833,6.649387775,-43.62169808,50.19364133
8.003,-6.940464122,-4.565458235,28.25465741,23.75005887,6.332898833,-43.659354,50.10299488
8.004,-6.916801383,-4.559282671,28.21098064,23.57518712,6.018593824,-43.69362901,50.01146004
8.005,-6.893314207,-4.553420319,28.16727126,23.39893887,5.706473684,-43.72456639,49.91905336
8.006,-6.870003952,-4.547868995,28.1235326,23.22134957,5.396538454,-43.75220897,49.82579144
8.007,-6.846871943,-4.542626514,28.07976793,23.04245428,5.088787302,-43.77659911,49.73169096
8.008,-6.823919467,-4.537690693,28.03598047,22.86228774,4.783218545,-43.79777874,49.63676866
8.009,-6.80114778,-4.533059351,27.99217343,22.68088429,4.47982967,-43.81578927,49.54104132
8.01,-6.7785581,-4.528730308,27.94834994,22.49827791,4.178617358,-43.83067165,49.44452578
8.011,-6.756151614,-4.524701392,27.90451311,22.31450222,3.879577504,-43.84246636,49.3472389
8.012,-6.733929474,-4.520970431,27.86066602,22.12959043,3.58270524,-43.85121335,49.24919758
8.013,-6.7118928,-4.517535261,27.81681169,21.9435754,3.287994953,-43.85695211,49.15041872
8.014,-6.69004268,-4.514393722,27.77295311,21.75648958,2.995440311,-43.85972161,49.05091926
8.015,-6.668380167,-4.511543664,27.72909322,21.56836504,2.705034281,-43.8595603,48.95071614
8.016,-6.646906286,-4.50898294,27.68523495,21.37923345,2.416769149,-43.85650615,48.84982629
8.017,-6.625622026,-4.506709415,27.64138116,21.18912611,2.130636542,-43.8505966,48.74826663
8.018,-6.604528348,-4.504720959,27.5975347,20.99807389,1.84662745,-43.84186858,48.64605411
8.019,-6.583626183,-4.503015455,27.55369835,20.80610728,1.564732241,-43.83035849,48.54320562
8.02,-6.562916429,-4.501590794,27.50987489,20.61325635,1.284940686,-43.81610221,48.43973806
8.021,-6.542399955,-4.500444876,27.46606705,20.41955079,1.007241977,-43.79913511,48.33566828
8.022,-6.522077602,-4.499575616,27.42227752,20.22501986,0.7316247438,-43.77949203,48.23101311
8.023,-6.501950181,-4.498980937,27.37850895,20.02969244,0.4580770776,-43.75720728,48.12578937
8.024,-6.482018473,-4.498658776,27.33476397,19.83359697,0.1865865463,-43.73231463,48.02001381
8.025,-6.462283233,-4.498607082,27.29104518,19.63676151,-0.08285978532,-43.70484735,47.91370316
8.026,-6.442745188,-4.498823819,27.24735512,19.43921369,-0.3502753375,-43.67483816,47.80687408
8.027,-6.423405034,-4.499306961,27.20369634,19.24098074,-0.6156739972,-43.64231925,47.69954322
8.028,-6.404263446,-4.500054499,27.16007131,19.04208947,-0.8790701007,-43.6073223,47.59172715
8.029,-6.385321066,-4.501064438,27.11648251,18.84256628,-1.140478416,-43.56987844,47.4834424
8.03,-6.366578515,-4.502334798,27.07293236,18.64243717,-1.399914123,-43.5300183,47.37470545
8.031,-6.348036385,-4.503863614,27.02942327,18.44172771,-1.657392803,-43.48777195,47.26553269
8.032,-6.329695245,-4.505648937,26.9859576,18.24046308,-1.912930413,-43.44316895,47.1559405
8.033,-6.311555636,-4.507688833,26.9425377,18.03866802,-2.166543276,-43.39623835,47.04594517
8.034,-6.293618077,-4.509981387,26.89916589,17.8363669,-2.418248062,-43.34700865,46.93556293
8.035,-6.275883063,-4.512524699,26.85584444,17.63358364,-2.668061773,-43.29550786,46.82480994
8.036,-6.258351063,-4.515316886,26.81257562,17.43034177,-2.916001725,-43.24176343,46.71370232
8.037,-6.241022524,-4.518356084,26.76936166,17.22666441,-3.162085537,-43.18580232,46.6022561
8.038,-6.223897872,-4.521640445,26.72620475,17.02257427,-3.40633111,-43.12765099,46.49048727
8.039,-6.206977506,-4.525168139,26.68310708,16.81809367,-3.648756618,-43.06733535,46.37841172
8.04,-6.190261807,-4.528937357,26.64007079,16.6132445,-3.889380487,-43.00488082,46.2660453
8.041,-6.173751133,-4.532946306,26.59709802,16.40804827,-4.128221388,-42.94031233,46.1534038
8.042,-6.157445819,-4.537193212,26.55419086,16.20252607,-4.365298217,-42.87365426,46.04050292
8.043,-6.141346182,-4.541676321,26.5113514,15.99669861,-4.600630082,-42.80493053,45.92735831
8.044,-6.125452517,-4.546393897,26.46858168,15.7905862,-4.834236292,-42.73416455,45.81398556
8.045,-6.109765098,-4.551344225,26.42588374,15.58420874,-5.066136343,-42.66137922,45.70040018
8.046,-6.094284181,-4.556525608,26.38325959,15.37758574,-5.296349902,-42.58659697,45.58661763
8.047,-6.079010002,-4.561936369,26.34071121,15.17073633,-5.524896798,-42.50983974,45.47265332
8.048,-6.063942778,-4.567574852,26.29824056,14.96367926,-5.751797007,-42.43112896,45.35852258
8.049,-6.049082707,-4.573439421,26.25584959,14.75643286,-5.97707064,-42.35048561,45.24424069
8.05,-6.034429969,-4.579528458,26.21354023,14.54901511,-6.200737933,-42.26793017,45.12982287
8.051,-6.019984728,-4.585840368,26.17131436,14.3414436,-6.422819233,-42.18348266,45.0152843
8.052,-6.005747128,-4.592373575,26.12917389,14.13373553,-6.643334985,-42.09716262,44.90064009
8.053,-5.991717297,-4.599126523,26.08712066,13.92590774,-6.862305725,-42.00898915,44.78590532
8.054,-5.977895347,-4.606097678,26.04515652,13.71797669,-7.079752068,-41.91898084,44.671095
8.055,-5.964281372,-4.613285526,26.0032833,13.50995847,-7.295694691,-41.82715587,44.55622411
8.056,-5.950875454,-4.620688573,25.96150281,13.3018688,-7.510154333,-41.73353195,44.44130759
8.057,-5.937677654,-4.628305347,25.91981683,13.09372306,-7.723151774,-41.63812631,44.32636033
8.058,-5.924688021,-4.636134396,25.87822714,12.88553625,-7.934707833,-41.54095579,44.21139719
8.059,-5.91190659,-4.644174289,25.8367355,12.67732301,-8.144843354,-41.44203675,44.09643299
8.06,-5.899333379,-4.652423616,25.79534365,12.46909763,-8.353579196,-41.34138513,43.98148253
